sequence,variant,metric,rmse,mean,median,std,min,max,sse,name
V2_03_difficult_proposed,proposed,APE_Sim3_trans_m,0.1323709852644916,0.1064484208574175,0.0864044163518251,0.0786817096716535,0.0257391111759744,0.6679844383105711,5.887418120603798,euroc_V2_03_difficult_proposed_C_ape.zip
V2_03_difficult,reinhard,APE_Sim3_trans_m,0.5699751614562817,0.386507430620094,0.2855963864615046,0.4189077353696964,0.0348145013415702,2.689544987817003,154.96379359098358,euroc_V2_03_difficult_reinhard_ape.zip
MH_01_easy,baseline,RPE5_trans_m,1.174141371357594,0.9824126642490062,0.8250200549077503,0.6430189087862511,0.0730623702469615,3.156394113113057,439.7759392187839,euroc_MH_01_easy_baseline_rpe5.zip
MH_01_easy,clahe,RPE5_trans_m,1.1322851681752726,0.943795406733875,0.7950899103044853,0.6255556987972734,0.0392882614317378,3.1573229724170804,429.49335019335126,euroc_MH_01_easy_clahe_rpe5.zip
MH_01_easy,mertens,RPE5_trans_m,1.1801984791846951,0.9809690029932336,0.7987973035719353,0.6561770077016789,0.0333740875019863,3.6430700276223456,465.2180623901357,euroc_MH_01_easy_mertens_rpe5.zip
MH_01_easy_proposed,proposed,RPE5_trans_m,1.5198249869436546,1.25513770631467,1.051460084704508,0.8570281962254391,0.0995633848177554,5.67290407331615,868.5103645927933,euroc_MH_01_easy_proposed_C_rpe5.zip
MH_01_easy,reinhard,RPE5_trans_m,1.3411120021280716,1.1585362855935106,1.1089561060353623,0.6755553842692366,0.1128506660537292,3.21164818593034,455.041094769747,euroc_MH_01_easy_reinhard_rpe5.zip
MH_02_easy,baseline,RPE5_trans_m,12.276434646490324,9.21446442791639,6.78744064551695,8.111996852576526,0.2273309152258516,46.37077987311568,38883.39868842339,euroc_MH_02_easy_baseline_rpe5.zip
MH_02_easy,clahe,RPE5_trans_m,5.26347093328795,4.087758237379482,3.06015098668283,3.315774247186216,0.0816712205056342,17.989872533752067,8061.900743280032,euroc_MH_02_easy_clahe_rpe5.zip
MH_02_easy,mertens,RPE5_trans_m,5.979205931730328,4.48925657558464,3.060266567513922,3.9493643757710193,0.1801909488804141,21.670735550540268,10689.520168637704,euroc_MH_02_easy_mertens_rpe5.zip
MH_02_easy_proposed,proposed,RPE5_trans_m,1.7781226843864235,1.3159050424036889,0.9583145360470564,1.1958738228200028,0.0408695675132906,5.64193234717758,1154.027902466297,euroc_MH_02_easy_proposed_C_rpe5.zip
MH_02_easy,reinhard,RPE5_trans_m,1.4155614348286265,1.114344711292677,0.913837396657013,0.8729547755686545,0.0427166729098494,5.078729969655623,506.96498647084206,euroc_MH_02_easy_reinhard_rpe5.zip
